Timestamp,Chicago-Area Zipcode,What best describes your discipline?,How many R-Ladies Meetups have you attended?,What is your level in R? ,"Overall, how satisfied are you with our events?","Overall, how useful is the information presented at our Meetups?",Please rate our event learning environment (scale of 1-5) [R-Ladies events have made me aware of useful R-related resources],Please rate our event learning environment (scale of 1-5) [I feel that R-Ladies events have improved my R skills],Please rate our event learning environment (scale of 1-5) [I feel welcome at R-Ladies events],Rate our event logistics (scale of 1-5) [Events are at a variety of central locations],Rate our event logistics (scale of 1-5) [I like the food & beverages served at events],Rate our event logistics (scale of 1-5) [Organizers are organized and prepared at Meetups.],Rate our event logistics (scale of 1-5) [Length of events is too short],Rate our event logistics (scale of 1-5) [Length of events is too long],Rate our 2018 Meetups! (scale of 1-5) [February: Make your own R package],Rate our 2018 Meetups! (scale of 1-5) [March: Introduction to tidy evaluation],Rate our 2018 Meetups! (scale of 1-5) [April: Introduction to Spatial Data Analysis & Mapping in R],Rate our 2018 Meetups! (scale of 1-5) [May: 3 Ways to Make a Data Visualization],Rate our 2018 Meetups! (scale of 1-5) [July: Summer Social - Sip & Code],Rate our 2018 Meetups! (scale of 1-5) [July: Game Time! Minecraft in R],Rate our 2018 Meetups! (scale of 1-5) [August: Astrostatistics in R],Rate our 2018 Meetups! (scale of 1-5) [September: Pro-tips on Starting your Data Science Career],Rate our 2018 Meetups! (scale of 1-5) [October: HacktobeRfest with the Chicago R Users Group],Rate our 2018 Meetups! (scale of 1-5) [November: Git + R],How has R-Ladies been helpful to you? ,What do you like the most about our events?,What do you like the least about our events?,"At R-Ladies Meetups, I would like to see more...",Are there specific topics or tutorials you would like to learn more about at a future R-Ladies Event? Please list/describe,Any suggestions for improvement?,Any general comments?
11/19/2018 20:41:48,60301,Government,2,3,5,5,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Cannot Rank/NA,4,5 (Strongly agree),2,2,5 (Awesome!),4,Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Learning useful new R skills,Learning useful new R skills,Far for those of us working in the suburbs,"Tutorials (e.g. how to make a package), Talks from experts on specific topics (e.g. A speaker talks about a package they created)","Data visualization, Spatial analysis, Data wrangling",,
11/26/2018 12:36:05,60640,Academia/Education,1,1,5,4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,4,4,1 (Strongly disagree),1 (Strongly disagree),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),4,It has been a great way to start using R more,I like that they are efficient way to learn new R skills. I also feel more comfortable at R Ladies events than other R events I have been too (non R-Ladies),I have only been to one so I don't have a lot of info here yet ,"Tutorials (e.g. how to make a package), Talks from experts on specific topics (e.g. A speaker talks about a package they created), Collaborative Coding/Hackathon (e.g. Sip & Code, HacktobeRfest)",,,Thank you!!
11/27/2018 10:58:17,60611,Academia/Education,2,2,3,2,3,3,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,4,2,Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),2,2,Cannot Rank (Don't remember/Did not attend), Meet people, Food and meeting people,Not enough time on R,"Tutorials (e.g. how to make a package), Career Development Events",,,
11/27/2018 17:13:19,60660,"Academia/Education, Data Science/Analytics",3,3,3,3,5 (Strongly agree),4,3,2,4,4,3,3,Cannot Rank (Don't remember/Did not attend),4,Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),3,Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),.,.,.,"Tutorials (e.g. how to make a package), Talks from experts on specific topics (e.g. A speaker talks about a package they created)",,,
11/28/2018 22:42:34,60502,Data Science/Analytics,3,5,4,5,Cannot rank/NA,Cannot rank/NA,4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,2,5 (Awesome!),5 (Awesome!),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),5 (Awesome!),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Networking and meeting likeminded people,Its informal and collaborative,There should be more time for interaction and participation,"Talks from experts on specific topics (e.g. A speaker talks about a package they created), Collaborative Coding/Hackathon (e.g. Sip & Code, HacktobeRfest), Career Development Events",,,
12/1/2018 8:34:21,60610,Academia/Education,None,5,3,3,Cannot rank/NA,Cannot rank/NA,Cannot rank/NA,Cannot Rank/NA,Cannot Rank/NA,Cannot Rank/NA,Cannot Rank/NA,Cannot Rank/NA,Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),N/A,N/A,N/A,"Tutorials (e.g. how to make a package), Collaborative Coding/Hackathon (e.g. Sip & Code, HacktobeRfest), Career Development Events, Social Events",,,
12/2/2018 20:48:54,60606,Industry,9+,2,5,4,4,4,5 (Strongly agree),4,4,5 (Strongly agree),4,4,5 (Awesome!),5 (Awesome!),Cannot Rank (Don't remember/Did not attend),5 (Awesome!),5 (Awesome!),Cannot Rank (Don't remember/Did not attend),5 (Awesome!),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Be up to date and connect with others,Meeting other people,Sometimes it can be too beginner level,"Tutorials (e.g. how to make a package), Collaborative Coding/Hackathon (e.g. Sip & Code, HacktobeRfest)",,,
12/3/2018 12:48:46,60640,Academia/Education,7,4,5,5,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),3,1 (Strongly disagree),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),5 (Awesome!),3,Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),5 (Awesome!),5 (Awesome!),introduced me to new packages in R and made me feel comfortable trying new things out myself,"It's a friendly, welcoming, and inspiring atmosphere",--,"Tutorials (e.g. how to make a package), Talks from experts on specific topics (e.g. A speaker talks about a package they created), Collaborative Coding/Hackathon (e.g. Sip & Code, HacktobeRfest), Social Events",dplyr/tidyr tutorial,,
12/4/2018 10:41:23,60016,Industry,5,5,5,4,5 (Strongly agree),3,5 (Strongly agree),4,4,5 (Strongly agree),2,2,5 (Awesome!),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),4,Great to have a community of like-minded people and R practitioners!,Openness & welcoming,More data science emphasis would be good,Talks from experts on specific topics (e.g. A speaker talks about a package they created),,,Love that the group is so welcoming and very active (1 event a month)
12/5/2018 8:53:09,60661,Data Science/Analytics,6,3,3,4,4,4,4,3,4,5 (Strongly agree),1 (Strongly disagree),3,5 (Awesome!),5 (Awesome!),4,4,Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),3,4,Good forum to learn new stuff in a collaborative environment,Friendly people,"the technical talk should start around 6 pm, otherwise tough for people who don't live in the city. ","Tutorials (e.g. how to make a package), Talks from experts on specific topics (e.g. A speaker talks about a package they created), Collaborative Coding/Hackathon (e.g. Sip & Code, HacktobeRfest)"," Advanced R, deep learning, word embeddings, NLP, word2vec",,
12/5/2018 15:04:05,60640,Academia/Education,None,2,3,3,Cannot rank/NA,Cannot rank/NA,Cannot rank/NA,Cannot Rank/NA,Cannot Rank/NA,Cannot Rank/NA,Cannot Rank/NA,Cannot Rank/NA,Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),N/a,N/a,"I haven't been able to get to any yet, as I'm usually coming from classes at Northwestern in the afternoons and events can be a little far.","Tutorials (e.g. how to make a package), Talks from experts on specific topics (e.g. A speaker talks about a package they created), Collaborative Coding/Hackathon (e.g. Sip & Code, HacktobeRfest), Career Development Events",,,
12/5/2018 18:26:26,60613,Industry,2,1,5,4,5 (Strongly agree),3,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),1 (Strongly disagree),1 (Strongly disagree),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),5 (Awesome!),Cannot Rank (Don't remember/Did not attend),It’s been fun to come meet new people,The food and the people,I like everything,"Tutorials (e.g. how to make a package), Talks from experts on specific topics (e.g. A speaker talks about a package they created), Collaborative Coding/Hackathon (e.g. Sip & Code, HacktobeRfest), Career Development Events, Social Events",How to get r packages set up,No you guys are great,
12/5/2018 18:26:56,60302,"Academia/Education, Data Science/Analytics",3,2,4,4,3,2,Cannot rank/NA,3,3,5 (Strongly agree),1 (Strongly disagree),3,Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),2,5 (Awesome!),Cannot Rank (Don't remember/Did not attend),"Welcoming environment, networking","Welcoming, well prepared",Nothing,"Tutorials (e.g. how to make a package), Talks from experts on specific topics (e.g. A speaker talks about a package they created), Collaborative Coding/Hackathon (e.g. Sip & Code, HacktobeRfest), Career Development Events",,,
12/5/2018 18:50:27,60625,Academia/Education,1,2,4,4,4,Cannot rank/NA,5 (Strongly agree),4,1 (Strongly disagree),4,Cannot Rank/NA,Cannot Rank/NA,Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),connect with other women interested in R,variety of background/skill level; everyone is friendly,not sure yet,"Tutorials (e.g. how to make a package), Talks from experts on specific topics (e.g. A speaker talks about a package they created)",visualizations,vegan-friendly snacks :),excited to meet the R-ladies!
12/5/2018 18:55:14,60640,Data Science/Analytics,8,4,4,3,3,2,5 (Strongly agree),5 (Strongly agree),3,4,2,2,4,5 (Awesome!),Cannot Rank (Don't remember/Did not attend),3,4,4,Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),Cannot Rank (Don't remember/Did not attend),2,Meeting more people in the community,Seeing how people present information,some repetition with Git intros; food is a bit unhealthy,"Talks from experts on specific topics (e.g. A speaker talks about a package they created), Collaborative Coding/Hackathon (e.g. Sip & Code, HacktobeRfest), Social Events",Python <=> R code conversion/usage within other language,Mediterranean food is good,
